epoch,N,D_glm,sigma_D_glm,l_deg,b_deg,sep_to_cmb_deg
0,216055,0.08890799746652447,0.004527586474444265,357.14559361251617,-19.85651903930419,106.71179305609465
1,211020,0.08579642602462047,0.00421575060102179,342.317309746134,-36.084110775223756,109.28536293874058
2,210807,0.07704975564695278,0.004558908833487208,329.7365890772561,-22.840831712732882,92.13455318663134
3,213353,0.07286777257787473,0.004309168928076735,326.5370744736612,-32.53402078411295,98.17425431945829
4,210331,0.09841373973237726,0.00425190010288685,326.6344738351915,-35.728577761314526,100.78013027291288
5,216465,0.0672213192858132,0.0034515858793904173,298.31132845959036,-59.184295571325165,111.03552514991439
6,207609,0.09170620632794732,0.004231970694708734,336.06402691813355,-36.964192302797684,106.53584341957146
7,213717,0.06916589536667583,0.0035773470726149724,297.52734714422485,-56.12493595197924,108.05859819225847
8,211551,0.10486537307603364,0.004262100919007353,332.69713892415473,-34.683575155938414,103.02974301229936
9,213332,0.08156953582204833,0.0044641866618674335,306.45241604014524,-27.257152835458125,84.53835982954352
10,214378,0.10576613501842581,0.003959065727144955,345.6292155515814,-43.41160274679102,116.24113310639474
11,221616,0.07255721281807469,0.0038542609747950238,274.8917268974733,-45.910764976622374,94.64150123159128
12,222333,0.11765217483409168,0.003803145894886247,345.9503945019289,-46.11317010488411,118.22354511200447
13,227636,0.07131808312756281,0.003940961041337227,303.89574449389016,-41.4190572234818,96.33790406585419
14,230367,0.11748612327517056,0.0036513130288083114,351.80966990575655,-48.66442791666745,122.90432955622296
15,229240,0.07305031403827168,0.003082235974881395,302.9697281736207,-68.10371814575892,119.94416289027289
